id;nome_completo;telefone;nome_apresentacao;indicador_ativo
1;Card;transform;generating enterprise Surinam;true
2;artificial world-class;Madeira;AGP Savings local;false
3;São matrix;redundant policy out-of-the-box;productivity Product override;true
4;Macio;payment digital;CSS transitional;false
5;Avon navigate transitional;Inteligente Cambridgeshire background;invoice;true
6;set;prata Pernambuco seamless;Índia;true
7;online;Frango;Cambridgeshire deposit payment;true
8;Borracha;bandwidth;synergize framework;true
9;Bedfordshire Account;CSS synergy;wireless;false
10;payment microchip;Salada Loan mobile;Security Madeira Loan;false
