id;nome_colaborador;nome_apresentacao;indicador_ativo
1;scalable Ceará Avenida;açafrão Algodão;true
2;roxo Casa;Applications SDD Polarised;false
3;invoice deposit open-source;Granito foreground Granito;false
4;Concreto Grosso;compressing Fresco;false
5;Administrator Assimilated;Borracha product;false
6;National capability mão;Filmes;true
7;open-source AI Dominicana;primary;true
8;Dinamarca Strategist;Travessa Incrível;false
9;à Congelado;logistical quantifying cobre;true
10;à Corporate;Associate;true
